City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Puerto Quijarro,BO,79.72,few clouds,-17.7833,-57.7667,Hotel palance
447,Solok,ID,71.04,overcast clouds,-0.7918,100.6593,Mami Hotel & Restaurant
449,Suntar,RU,59.43,overcast clouds,62.1444,117.6319,Гостевая квартира
450,Kendari,ID,73.17,overcast clouds,-3.945,122.4989,Hotel Wixel
452,Pathein,MM,75.16,overcast clouds,16.7833,94.7333,Pathein Hotel
453,Ahipara,NZ,55.31,light rain,-35.1667,173.1667,Ahipara Holiday Park
454,Ballina,AU,52.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
455,Bilibino,RU,60.4,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
456,Calama,CL,61.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
457,Mabaruma,GY,75.56,broken clouds,8.2,-59.7833,Monty Brooms Guest House
458,Udala,ES,71.8,few clouds,43.0778,-2.5125,Hotel Arrasate
459,Nauta,PE,78.28,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
460,Otane,NZ,57.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
461,Yenagoa,NG,74.05,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
462,Sambava,MG,67.82,few clouds,-14.2667,50.1667,Melrose
463,Hay River,CA,69.78,thunderstorm with rain,60.8156,-115.7999,Ptarmigan Inn
466,Bondowoso,ID,72.1,overcast clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
467,Sungaipenuh,ID,64.31,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
468,Pronsk,RU,58.71,few clouds,54.1048,39.6092,Gostevoy Dom Pronskaya Usad'ba
469,Jipijapa,EC,71.1,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
471,Santa Cruz Cabralia,BR,73.63,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
472,Hobyo,SO,78.51,broken clouds,5.3505,48.5268,Iftin hotel hobyo
474,Alyangula,AU,67.78,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
475,Imbituba,BR,59.09,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
478,Hailar,CN,61.48,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
479,Margate,GB,65.89,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
480,Churapcha,RU,68.43,overcast clouds,62.0025,132.4325,"""Tusku"""
481,Kencong,ID,74.07,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
482,Ebenthal,AT,69.98,clear sky,46.6081,14.3642,Hotel Liebetegger
483,Uruguaiana,BR,58.93,few clouds,-29.7547,-57.0883,Fares Turis Hotel
486,Saint-Andre-Avellin,CA,74.93,overcast clouds,45.7168,-75.066,Auberge Petite-Nation
488,Kayankulam,IN,77.97,overcast clouds,9.1833,76.5,Hotel Indraprastha
489,Kenai,US,64.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
490,Moroni,KM,76.55,broken clouds,-11.7022,43.2551,Hotel Les Arcades
491,Wajima,JP,76.59,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
492,Chiscas,CO,62.78,broken clouds,6.5524,-72.4998,Hotel mi Ranchito
493,Bandarbeyla,SO,76.35,broken clouds,9.4942,50.8122,JABIR HOTEL
495,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
497,Inhambane,MZ,65.79,clear sky,-23.865,35.3833,Oceano
498,Kutum,SD,73.8,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
499,Selikhino,RU,66.97,overcast clouds,50.3672,137.4996,Tosklivyy Dom
506,Cap Malheureux,MU,65.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
508,Vao,NC,73.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
509,Antalaha,MG,66.27,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
510,Salinopolis,BR,78.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
511,Marck,FR,65.03,overcast clouds,50.949,1.9433,ibis Calais Car Ferry
514,Gat,IL,77.68,few clouds,31.61,34.7642,OlusHome
516,Erenhot,CN,68.4,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
518,Gambela,ET,69.96,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
519,Eresos,GR,70.9,clear sky,39.1667,25.9333,Studio Aspa
522,Axim,GH,74.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
524,Pyaozerskiy,RU,62.82,broken clouds,65.8333,31.1667,Taratuga
